id:l, name:keyword,            shape:cartesian_shape
0,    Four squares,            "MULTIPOLYGON(((0 0\, 1 0\, 1 1\, 0 1\, 0 0))\, ((2 0\, 3 0\, 3 1\, 2 1\, 2 0))\, ((2 2\, 3 2\, 3 3\, 2 3\, 2 2))\, ((0 2\, 1 2\, 1 3\, 0 3\, 0 2)))"
1,    Bottom left,             "POLYGON((0 0\, 1 0\, 1 1\, 0 1\, 0 0))"
2,    Bottom right,            "POLYGON((2 0\, 3 0\, 3 1\, 2 1\, 2 0))"
3,    Top right,               "POLYGON((2 2\, 3 2\, 3 3\, 2 3\, 2 2))"
4,    Top left,                "POLYGON((0 2\, 1 2\, 1 3\, 0 3\, 0 2))"
5,    Four squares with holes, "MULTIPOLYGON(((0 0\, 1 0\, 1 1\, 0 1\, 0 0)\, (0.4 0.4\, 0.6 0.4\, 0.6 0.6\, 0.4 0.6\, 0.4 0.4))\, ((2 0\, 3 0\, 3 1\, 2 1\, 2 0)\, (2.4 0.4\, 2.6 0.4\, 2.6 0.6\, 2.4 0.6\, 2.4 0.4))\, ((2 2\, 3 2\, 3 3\, 2 3\, 2 2)\, (2.4 2.4\, 2.6 2.4\, 2.6 2.6\, 2.4 2.6\, 2.4 2.4))\, ((0 2\, 1 2\, 1 3\, 0 3\, 0 2)\, (0.4 2.4\, 0.6 2.4\, 0.6 2.6\, 0.4 2.6\, 0.4 2.4)))"
6,    Bottom left with holes,  "POLYGON((0 0\, 1 0\, 1 1\, 0 1\, 0 0)\, (0.4 0.4\, 0.6 0.4\, 0.6 0.6\, 0.4 0.6\, 0.4 0.4))"
7,    Bottom right with holes, "POLYGON((2 0\, 3 0\, 3 1\, 2 1\, 2 0)\, (2.4 0.4\, 2.6 0.4\, 2.6 0.6\, 2.4 0.6\, 2.4 0.4))"
8,    Top right with holes,    "POLYGON((2 2\, 3 2\, 3 3\, 2 3\, 2 2)\, (2.4 2.4\, 2.6 2.4\, 2.6 2.6\, 2.4 2.6\, 2.4 2.4))"
9,    Top left with holes,     "POLYGON((0 2\, 1 2\, 1 3\, 0 3\, 0 2)\, (0.4 2.4\, 0.6 2.4\, 0.6 2.6\, 0.4 2.6\, 0.4 2.4))"
10,   Four diagonals,          "MULTILINESTRING((0 0\, 1 1)\, (2 0\, 3 1)\, (2 2\, 3 3)\, (0 2\, 1 3))"
11,   Bottom left diagonal,    "LINESTRING(0 0\, 1 1)"
12,   Bottom right diagonal,   "LINESTRING(2 0\, 3 1)"
13,   Top right diagonal,      "LINESTRING(2 2\, 3 3)"
14,   Top left diagonal,       "LINESTRING(0 2\, 1 3)"
15,   Four points,             "MULTIPOINT(0.5 0.5\, 2.5 0.5\, 2.5 2.5\, 0.5 2.5)"
16,   Bottom left point,       "POINT(0.5 0.5)"
17,   Bottom right point,      "POINT(2.5 0.5)"
18,   Top right point,         "POINT(2.5 2.5)"
19,   Top left point,          "POINT(0.5 2.5)"
