id:integer,color_name:text,cmyk_vector:dense_vector
0,maroon, [0, 100, 100, 50]
1,brown, [0, 75, 75, 35]
2,firebrick, [0, 81, 81, 30]
3,crimson, [0, 91, 73, 14]
4,red, [0, 100, 100, 0]
5,tomato, [0, 61, 72, 0]
6,coral, [0, 50, 69, 0]
7,salmon, [0, 49, 54, 2]
8,orange, [0, 35, 100, 0]
9,gold, [0, 16, 100, 0]
10,golden rod, [0, 24, 85, 15]
11,khaki, [0, 4, 42, 6]
12,olive, [0, 0, 100, 50]
13,yellow, [0, 0, 100, 0]
14,chartreuse, [50, 0, 100, 0]
15,green, [100, 0, 100, 50]
16,lime, [100, 0, 100, 0]
17,teal, [100, 0, 0, 50]
18,cyan, [100, 0, 0, 0]
19,turquoise, [71, 0, 7, 12]
20,aqua marine, [50, 0, 17, 0]
21,navy, [100, 100, 0, 50]
22,blue, [100, 100, 0, 0]
23,indigo, [42, 100, 0, 49]
24,purple, [0, 100, 0, 50]
25,thistle, [0, 12, 0, 15]
26,plum, [0, 28, 0, 13]
27,violet, [0, 45, 0, 7]
28,magenta, [0, 100, 0, 0]
29,orchid, [0, 49, 2, 15]
30,pink, [0, 25, 20, 0]
31,beige, [0, 0, 10, 4]
32,bisque, [0, 11, 23, 0]
33,wheat, [0, 9, 27, 4]
34,corn silk, [0, 3, 14, 0]
35,lemon chiffon, [0, 2, 20, 0]
36,sienna, [0, 49, 72, 37]
37,chocolate, [0, 50, 86, 18]
38,peru, [0, 35, 69, 20]
39,burly wood, [0, 17, 39, 13]
40,tan, [0, 14, 33, 18]
41,moccasin, [0, 11, 29, 0]
42,peach puff, [0, 15, 27, 0]
43,misty rose, [0, 11, 12, 0]
44,linen, [0, 4, 8, 2]
45,old lace, [0, 3, 9, 1]
46,papaya whip, [0, 6, 16, 0]
47,sea shell, [0, 4, 7, 0]
48,mint cream, [4, 0, 2, 0]
49,lavender, [8, 8, 0, 2]
50,honeydew, [6, 0, 6, 0]
51,ivory, [0, 0, 6, 0]
52,azure, [6, 0, 0, 0]
53,snow, [0, 2, 2, 0]
54,black, [0, 0, 0, 100]
55,gray, [0, 0, 0, 50]
56,silver, [0, 0, 0, 25]
57,gainsboro, [0, 0, 0, 14]
58,white, [0, 0, 0, 0]
