language_code_byte:byte,language_code_short:short,language_code_integer:integer,language_code_long:long,language_code_half_float:half_float,language_code_scaled_float:scaled_float,language_code_float:float,language_code_double:double,language_name:keyword
1,1,1,1,1.0,1.0,1.0,1.0,English
2,2,2,2,2.0,2.0,2.0,2.0,French
3,3,3,3,3.0,3.0,3.0,3.0,Spanish
4,4,4,4,4.0,4.0,4.0,4.0,German
-128,-128,-128,-128,-128.0,-128.0,-128.0,-128.0,min_byte
,-129,-129,-129,-129.0,-129.0,-129.0,-129.0,min_byte_minus_1
127,127,127,127,127.0,127.0,127.0,127.0,max_byte
,128,128,128,128.0,128.0,128.0,128.0,max_byte_plus_1
,-32768,-32768,-32768,-32768.0,-32768.0,-32768.0,-32768.0,min_short
,,-32769,-32769,-32769.0,-32769.0,-32769.0,-32769.0,min_short_minus_1
,32767,32767,32767,32767.0,32767.0,32767.0,32767.0,max_short
,,32768,32768,32768.0,32768.0,32768.0,32768.0,max_short_plus_1
,,-2147483648,-2147483648,,-2147483648.0,-2147483648.0,-2147483648.0,min_int
,,,-2147483649,,-2147483649.0,-2147483649.0,-2147483649.0,min_int_minus_1
,,2147483646,2147483646,,2147483646.0,2147483646.0,2147483646.0,max_int_minus_1
,,2147483647,2147483647,,2147483647.0,2147483647.0,2147483647.0,max_int
,,,2147483648,,2147483648.0,2147483648.0,2147483648.0,max_int_plus_1
,,,-9223372036854775808,,-9223372036854775808.0,-9223372036854775808.0,-9223372036854775808.0,min_long
,,,,,-9223372036854775809.0,-9223372036854775809.0,-9223372036854775809.0,min_long_minus_1
,,,9223372036854775806,,9223372036854775806.0,9223372036854775806.0,9223372036854775806.0,max_long_minus_1
,,,9223372036854775807,,9223372036854775807.0,9223372036854775807.0,9223372036854775807.0,max_long
,,,,,9223372036854775808.0,9223372036854775808.0,9223372036854775808.0,max_long_plus_1
,,65504,65504,65504.0,65504.0,65504.0,65504.0,max_half_float
,,65505,65505,65505.0,65505.0,65505.0,65505.0,max_half_float_plus_1
,,-65504,-65504,-65504.0,-65504.0,-65504.0,-65504.0,min_half_float
,,-65505,-65505,-65505.0,-65505.0,-65505.0,-65505.0,min_half_float_minus_1
,,,,,,3.40282346638528860e+38,3.40282346638528860e+38,max_float
,,,,,,-3.40282346638528860e+38,-3.40282346638528860e+38,min_float
,,,,,,,3.40282346638528860e+39,double
