id:l, intersects:boolean, within:boolean, centroid:geo_point, lk:keyword,                                         location:geo_point,                                 subset:geo_point,               disjoint:geo_point
0,    true,               true,           "POINT(0.0 5.0)",   ["POINT(5 5)", "POINT(-5 5)"],                      ["POINT(5 5)", "POINT(-5 5)"],                      "POINT(5 5)",                   ["POINT(55 55)", "POINT(65 65)"]
1,    true,               true,           "POINT(0.5 0.5)",   ["POINT(0 1)","POINT(1 0)"],                        ["POINT(0 1)","POINT(1 0)"],                        "POINT(0 1)",                   ["POINT(55 55)", "POINT(65 65)"]
2,    true,               true,           "POINT(9.0 9.0)",   "POINT(9 9)",                                       "POINT(9 9)",                                       "POINT(9 9)",                   ["POINT(55 55)", "POINT(65 65)"]
3,    true,               true,           "POINT(0.0 0.0)",   ["POINT(-9 -9)","POINT(9 9)"],                      ["POINT(-9 -9)","POINT(9 9)"],                      "POINT(-9 -9)",                 ["POINT(55 55)", "POINT(65 65)"]
4,    true,               false,          "POINT(10.0 10.0)", ["POINT(5 5)", "POINT(15 15)"],                     ["POINT(5 5)", "POINT(15 15)"],                     "POINT(5 5)",                   ["POINT(55 55)", "POINT(65 65)"]
5,    true,               false,          "POINT(5.5 5.5)",   ["POINT(0 0)","POINT(11 11)"],                      ["POINT(0 0)","POINT(11 11)"],                      "POINT(0 0)",                   ["POINT(55 55)", "POINT(65 65)"]
6,    true,               false,          "POINT(0.0 -5.0)",  ["POINT(-9 -19)","POINT(9 9)"],                     ["POINT(-9 -19)","POINT(9 9)"],                     "POINT(-9 -19)",                ["POINT(55 55)", "POINT(65 65)"]
7,    false,              false,          "POINT(10.0 10.0)", ["POINT(5 15)", "POINT(15 5)"],                     ["POINT(5 15)", "POINT(15 5)"],                     "POINT(5 15)",                  ["POINT(55 55)", "POINT(65 65)"]
8,    false,              false,          "POINT(5.5 5.5)",   ["POINT(0 11)","POINT(11 0)"],                      ["POINT(0 11)","POINT(11 0)"],                      "POINT(0 11)",                  ["POINT(55 55)", "POINT(65 65)"]
9,    false,              false,          "POINT(19.0 9.0)",  "POINT(19 9)",                                      "POINT(19 9)",                                      "POINT(19 9)",                  ["POINT(55 55)", "POINT(65 65)"]
10,   false,              false,          "POINT(5.0 -5.0)",  ["POINT(-9 -19)","POINT(19 9)"],                    ["POINT(-9 -19)","POINT(19 9)"],                    "POINT(-9 -19)",                ["POINT(55 55)", "POINT(65 65)"]
11,   true,               false,          "POINT(0.0 0.0)",   ["POINT(0 0)", "POINT(55 55)", "POINT(-55 -55)"],   ["POINT(0 0)", "POINT(55 55)", "POINT(-55 -55)"],   ["POINT(0 0)", "POINT(55 55)"], ["POINT(55 55)", "POINT(65 65)"]
12,   true,               false,          "POINT(0.0 0.0)",   ["POINT(0 0)", "POINT(55 55)", "POINT(-55 -55)"],   ["POINT(0 0)", "POINT(55 55)", "POINT(-55 -55)"],   ["POINT(0 0)", "POINT(55 54)"], ["POINT(55 55)", "POINT(65 65)"]
