millis:date,nanos:date_nanos,num:long
2023-10-23T13:55:01.543Z,2023-10-23T13:55:01.543123456Z,1698069301543123456
2023-10-23T13:53:55.832Z,2023-10-23T13:53:55.832987654Z,1698069235832987654
2023-10-23T13:52:55.015Z,2023-10-23T13:52:55.015787878Z,1698069175015787878
2023-10-23T13:51:54.732Z,2023-10-23T13:51:54.732102837Z,1698069114732102837
2023-10-23T13:33:34.937Z,2023-10-23T13:33:34.937193000Z,1698068014937193000
2023-10-23T12:27:28.948Z,2023-10-23T12:27:28.948000000Z,1698064048948000000
2023-10-23T12:15:03.360Z,2023-10-23T12:15:03.360103847Z,1698063303360103847
2023-10-23T12:15:03.360Z,2023-10-23T12:15:03.360103847Z,1698063303360103847
1999-10-23T12:15:03.360Z,[2023-03-23T12:15:03.360103847Z, 2023-02-23T13:33:34.937193000Z, 2023-01-23T13:55:01.543123456Z], 0
1999-10-22T12:15:03.360Z,[2023-03-23T12:15:03.360103847Z, 2023-03-23T12:15:03.360103847Z, 2023-03-23T12:15:03.360103847Z], 0
