name,author,release_date,page_count
Leviathan Wakes,James S.A. Corey,2011-06-02T00:00:00Z,561
Hyperion,Dan Simmons,1989-05-26T00:00:00Z,482
Dune,Frank Herbert,1965-06-01T00:00:00Z,604
Dune Messiah,Frank Herbert,1969-10-15T00:00:00Z,331
Children of Dune,Frank Herbert,1976-04-21T00:00:00Z,408
God Emperor of Dune,Frank Herbert,1981-05-28T00:00:00Z,454
Consider Phlebas,Iain M. Banks,1987-04-23T00:00:00Z,471
Pandora's Star,Peter F. Hamilton,2004-03-02T00:00:00Z,768
Revelation Space,Alastair Reynolds,2000-03-15T00:00:00Z,585
A Fire Upon the Deep,Vernor Vinge,1992-06-01T00:00:00Z,613
Ender's Game,Orson Scott Card,1985-06-01T00:00:00Z,324
1984,George Orwell,1985-06-01T00:00:00Z,328
Fahrenheit 451,Ray Bradbury,1953-10-15T00:00:00Z,227
Brave New World,Aldous Huxley,1932-06-01T00:00:00Z,268
Foundation,Isaac Asimov,1951-06-01T00:00:00Z,224
The Giver,Lois Lowry,1993-04-26T00:00:00Z,208
Slaughterhouse-Five,Kurt Vonnegut,1969-06-01T00:00:00Z,275
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979-10-12T00:00:00Z,180
Snow Crash,Neal Stephenson,1992-06-01T00:00:00Z,470
Neuromancer,William Gibson,1984-07-01T00:00:00Z,271
The Handmaid's Tale,Margaret Atwood,1985-06-01T00:00:00Z,311
Starship Troopers,Robert A. Heinlein,1959-12-01T00:00:00Z,335
The Left Hand of Darkness,Ursula K. Le Guin,1969-06-01T00:00:00Z,304
The Moon is a Harsh Mistress,Robert A. Heinlein,1966-04-01T00:00:00Z,288
